Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,SALISBURY EAST,5109,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,SALISBURY HEIGHTS,5109,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,SALISBURY NORTH,5108,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
2025-07-01,SALISBURY NORTH,5108,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,SEACLIFF,5049,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,SEAFORD,5169,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,SEAFORD,5169,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,SEAFORD HEIGHTS,5169,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,SEMAPHORE PARK,5019,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,SMITHFIELD,5114,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,SOLOMONTOWN,5540,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,SOUTH BRIGHTON,5048,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,SOUTH BRIGHTON,5048,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,SOUTHEND,5280,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,SOUTH PLYMPTON,5038,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,STEWART RANGE,5271,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,STEWART RANGE,5271,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,STIRLING NORTH,5710,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,ST MARYS,5042,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,2
2025-07-01,THEBARTON,5031,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,THE PINES,5577,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,THEVENARD,5690,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,TOORAK GARDENS,5065,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,TOORAK GARDENS,5065,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,2
2025-07-01,TOORAK GARDENS,5065,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,TORRENSVILLE,5031,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,TOTNESS,5250,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,TUMBY BAY,5605,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,TUMBY BAY,5605,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,UNLEY PARK,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,UNLEY PARK,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,VICTOR HARBOR,5211,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,VIRGINIA,5120,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,VIRGINIA,5120,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
